0,50,50,100,100
1,50,50,100,100
2,50,50,100,100
3,52,42,100,100
4,51,50,100,100
5,52,50,100,100
6,50,49,100,100
7,49,48,100,100
8,53,48,100,100
9,52,47,100,100
10,51,48,100,100
11,50,49,100,100
12,50,49,100,100
13,50,50,100,100
14,51,50,100,100
15,51,51,100,100
16,52,51,100,100
17,52,51,100,100
18,52,50,100,100
19,52,51,100,100
20,52,51,100,100
21,52,51,100,100
22,52,51,100,100
23,53,51,100,100
24,52,51,100,100
25,55,51,100,100
26,53,49,100,100
27,60,50,100,100
28,61,51,100,100
29,62,50,100,100
30,61,50,100,100
31,58,52,100,100
32,78,42,100,100
33,93,33,100,100
34,107,33,100,100
35,131,34,100,100
36,145,33,100,100
37,161,33,100,100
38,149,17,100,100
39,150,17,100,100
40,126,12,100,100
41,150,13,100,100
42,154,17,100,100
43,153,17,100,100
44,177,17,100,100
45,199,13,100,100
46,222,12,100,100
47,203,17,100,100
48,201,14,100,100
49,203,14,100,100
50,205,14,100,100
51,202,17,100,100
52,203,7,100,100
53,201,16,100,100
54,201,13,100,100
55,178,15,100,100
56,180,15,100,100
57,201,13,100,100
58,202,12,100,100
59,201,13,100,100
60,203,11,100,100
61,201,14,100,100
62,203,17,100,100
63,201,17,100,100
64,203,17,100,100
65,203,11,100,100
66,203,13,100,100
67,180,4,100,100
68,200,13,100,100
69,180,13,100,100
70,203,12,100,100
71,203,13,100,100
72,203,12,100,100
73,202,17,100,100
74,203,14,100,100
75,203,12,100,100
76,201,11,100,100
77,203,13,100,100
78,202,14,100,100
79,201,13,100,100
80,203,12,100,100
81,201,13,100,100
82,203,11,100,100
83,201,13,100,100
84,202,11,100,100
85,203,10,100,100
86,201,11,100,100
87,201,12,100,100
88,201,13,100,100
89,203,10,100,100
90,202,11,100,100
91,202,13,100,100
92,203,11,100,100
93,203,11,100,100
94,202,12,100,100
95,203,11,100,100
96,202,9,100,100
97,203,11,100,100
98,203,10,100,100
99,202,10,100,100
100,203,10,100,100
101,202,10,100,100
102,203,9,100,100
103,203,9,100,100
104,202,9,100,100
105,203,9,100,100
106,203,10,100,100
107,203,9,100,100
108,202,9,100,100
109,203,9,100,100
110,203,9,100,100
111,203,9,100,100
112,203,9,100,100
113,203,9,100,100
114,203,9,100,100
115,203,9,100,100
116,203,9,100,100
117,203,9,100,100
118,203,9,100,100
119,203,9,100,100
120,203,9,100,100
121,203,9,100,100
122,203,9,100,100
123,203,9,100,100
124,203,9,100,100
125,203,9,100,100
126,203,9,100,100
127,203,9,100,100
128,203,9,100,100
129,203,9,100,100
130,203,9,100,100
131,203,9,100,100
132,203,9,100,100
133,203,9,100,100
134,203,9,100,100
135,203,9,100,100
136,203,10,100,100
137,203,9,100,100
138,203,9,100,100
139,203,9,100,100
140,203,9,100,100
141,203,8,100,100
142,203,11,100,100
143,203,12,100,100
144,203,10,100,100
145,202,10,100,100
146,203,10,100,100
147,202,9,100,100
148,203,10,100,100
149,203,10,100,100
150,202,10,100,100
151,202,9,100,100
152,202,10,100,100
153,211,10,100,100
154,204,9,100,100
155,203,10,100,100
156,202,10,100,100
157,203,11,100,100
158,205,9,100,100
159,203,10,100,100
160,204,8,100,100
161,202,10,100,100
162,203,11,100,100
163,203,17,100,100
164,202,17,100,100
165,178,19,100,100
166,200,9,100,100
167,201,6,100,100
168,203,10,100,100
169,200,9,100,100
170,203,10,100,100
171,202,9,100,100
172,199,10,100,100
173,202,9,100,100
174,201,13,100,100
